VE,variant,weeks,vax,report_date,notes
77.33333333,delta,5-9,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
69.66666667,delta,10-14,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
54.33333333,delta,15-19,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
48.33333333,delta,20-24,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
44.33333333,delta,25+,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
89.33333333,delta,1,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
96.33333333,delta,2-4,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
93.66666667,delta,5-9,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
89,delta,10-14,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
92.66666667,delta,1,ChAdOx1-Sx2 + mRNA-1273,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
98.33333333,delta,2-4,ChAdOx1-Sx2 + mRNA-1273,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
96.33333333,delta,5-9,ChAdOx1-Sx2 + mRNA-1273,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
49.66666667,omicron,2-4,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
35.66666667,omicron,5-9,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
30.33333333,omicron,10-14,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
18.33333333,omicron,15-19,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
5.666666667,omicron,20-24,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
-1,omicron,25+,ChAdOx1-Sx2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
60.33333333,omicron,1,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
63.66666667,omicron,2-4,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
54,omicron,5-9,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
39,omicron,10-14,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
29,omicron,15-19,ChAdOx1-Sx2 + BNT162b2,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
69,omicron,1,ChAdOx1-Sx2 + mRNA-1273,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
70.66666667,omicron,2-4,ChAdOx1-Sx2 + mRNA-1273,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
62.33333333,omicron,5-9,ChAdOx1-Sx2 + mRNA-1273,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
39,omicron,10-14,ChAdOx1-Sx2 + mRNA-1273,2022-Jan-27,Fig 1 of https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/1050721/Vaccine-surveillance-report-week-4.pdf
